model_id,model_kind,metric,Domain (i),calib_subset,target_id,Specialist id,F_i,Specialist score,Merged/model score,n_layers,n_prompts,layer_mean_distance,layer_median_distance,layer_std_distance,layer_min_distance,layer_max_distance,min_layer,max_layer
aim_on_dare__calib_general,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.2939001848428836,0.8170055452865065,0.5231053604436229,36,128,0.05902453239509163,0.06047689875413198,0.00956733516307343,0.034625805041287094,0.09402302908711135,0,35
aim_on_dare__calib_general,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.015151515151515138,0.5858585858585859,0.5707070707070707,36,128,0.05046932133336668,0.05240911367582157,0.00669233448640109,0.03339351172326133,0.07218314951751381,0,35
aim_on_dare__calib_general,candidate,projected_js,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.04848369977255507,0.8208112206216831,0.772327520849128,36,128,0.06442283961465971,0.0646045998291811,0.004717919040001618,0.04886344209080562,0.08038176241097972,0,35
aim_on_dare__calib_general,candidate,projected_js,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21616627725856694,0.24281690402017506,0.458983181278742,36,128,0.1024313801301307,0.09103196818614379,0.039174919034731255,0.06353194086113945,0.2477655034745112,0,1
aim_on_dare__calib_instruction,candidate,mmd_rbf,B_if,instruction,instr_only,instr_only,0.30868761552680224,0.8170055452865065,0.5083179297597042,36,128,0.005961768536104096,0.005429217591881752,0.005335190651457433,0.0017959773540496826,0.036284010857343674,0,35
aim_on_dare__calib_instruction,candidate,mmd_rbf,B_reasoning_long,reasoning,instr_only,instr_only,0.08585858585858586,0.5858585858585859,0.5,36,128,0.0031047421895588436,0.0027276139007881284,0.00342231812911028,0.0010486692190170288,0.022953003644943237,0,35
aim_on_dare__calib_instruction,candidate,mmd_rbf,B_reasoning_math,reasoning,reasoning_only,reasoning_only,0.05075815011372253,0.8208112206216831,0.7700530705079606,36,128,0.010824500259736346,0.010620159562677145,0.004542662740712445,0.004545468371361494,0.03203444927930832,0,35
aim_on_dare__calib_instruction,candidate,mmd_rbf,B_uncensored,uncensored_refusal_like,uncensored_only,uncensored_only,-0.21786428200563715,0.24281690402017506,0.4606811860258122,36,128,0.05694087271371649,0.04576140269637108,0.04812913967883621,0.013175315223634243,0.22423231601715088,0,1
aim_on_dare__calib_instruction,candidate,projected_js,B_if,instruction,instr_only,instr_only,0.30868761552680224,0.8170055452865065,0.5083179297597042,36,128,0.058881788991129724,0.06056796418852173,0.009469054934011917,0.034916474178317,0.09432530112098902,0,35
aim_on_dare__calib_instruction,candidate,projected_js,B_reasoning_long,reasoning,instr_only,instr_only,0.08585858585858586,0.5858585858585859,0.5,36,128,0.05051932692650654,0.05205690846196376,0.00687597920040684,0.033125223766546696,0.07273602770874277,0,35
